,r,delay,repetition,avgtime,congested,congested_ratio,f,informed
207,70,2,7,1.3223361861382352,False,False,1,1.0
208,70,2,8,1.330079512098479,False,False,1,1.0
209,70,2,9,1.3284287015069711,False,False,1,1.0
210,70,2,10,1.328332961159156,False,False,1,1.0
211,70,2,11,1.3248075737059422,False,False,1,1.0
212,70,2,12,1.3230221948913536,False,False,1,1.0
213,70,2,13,1.3354514627790794,False,False,1,1.0
214,70,2,14,1.328065827133846,False,False,1,1.0
215,70,2,15,1.3340455103897575,False,False,1,1.0
216,70,2,16,1.3291652383482333,False,False,1,1.0
217,70,2,17,1.3318718533303853,False,False,1,1.0
218,70,2,18,1.3260650511290542,False,False,1,1.0
219,70,2,19,1.324482228829395,False,False,1,1.0
220,70,2,20,1.3272365870792149,False,False,1,1.0
221,70,2,21,1.3307395274803262,False,False,1,1.0
222,70,2,22,1.3311368008390976,False,False,1,1.0
223,70,2,23,1.3336564674652478,False,False,1,1.0
224,70,2,24,1.3304059346759578,False,False,1,1.0
225,70,2,25,1.3277147986869242,False,False,1,1.0
226,70,2,26,1.3257736918982954,False,False,1,1.0
227,70,2,27,1.331561401626835,False,False,1,1.0
228,70,2,28,1.3306545354752377,False,False,1,1.0
229,70,2,29,1.326321664503965,False,False,1,1.0
230,70,2,30,1.330348987996406,False,False,1,1.0
231,70,2,31,1.3303619128768007,False,False,1,1.0
232,70,2,32,1.331282529900117,False,False,1,1.0
233,70,2,33,1.3336372711421949,False,False,1,1.0
234,70,2,34,1.3280307379711276,False,False,1,1.0
235,70,2,35,1.3330747069645792,False,False,1,1.0
236,70,2,36,1.3309920970041826,False,False,1,1.0
237,70,2,37,1.3337927422915683,False,False,1,1.0
238,70,2,38,1.327467954255779,False,False,1,1.0
239,70,2,39,1.3357783803597725,False,False,1,1.0
240,70,2,40,1.3306138174968154,False,False,1,1.0
241,70,2,41,1.3353041632790887,False,False,1,1.0
242,70,2,42,1.3320631262267424,False,False,1,1.0
243,70,2,43,1.3354175651617948,False,False,1,1.0
244,70,2,44,1.3269169890377166,False,False,1,1.0
245,70,2,45,1.3264600515937672,False,False,1,1.0
246,70,2,46,1.328985182617573,False,False,1,1.0
247,70,2,47,1.326467382572803,False,False,1,1.0
248,70,2,48,1.33235012087284,False,False,1,1.0
249,70,2,49,1.3341187224862483,False,False,1,1.0
250,70,2,50,1.3300279918627531,False,False,1,1.0
