r,delay,repetition,avgtime,congested,f
70,3,79,1.3288826526945623,False,1
70,3,80,1.3244851574647136,False,1
70,3,81,1.3336525003062354,False,1
70,3,82,1.3349640759010946,False,1
70,3,83,1.3256586240618033,False,1
70,3,84,1.3308541191242762,False,1
70,3,85,1.3247054309611828,False,1
70,3,86,1.3251235050949868,False,1
70,3,87,1.331389803823828,False,1
70,3,88,1.3275921137380087,False,1
70,3,89,1.3272593585449934,False,1
70,3,90,1.3260376518567645,False,1
70,3,91,1.3240090262137796,False,1
70,3,92,1.3262117248010876,False,1
70,3,93,1.3270477671741037,False,1
70,3,94,1.3290598974086607,False,1
70,3,95,1.3295358291027044,False,1
70,3,96,1.3262308648018777,False,1
70,3,97,1.328556408946293,False,1
70,3,98,1.3319155119875274,False,1
70,3,99,1.32367315487679,False,1
70,4,0,1.3275617699585023,False,1
70,4,1,1.3314355237788438,False,1
70,4,2,1.3275038642481276,False,1
70,4,3,1.3279201800673297,False,1
70,4,4,1.3266007127860298,False,1
70,4,5,1.3284238489458942,False,1
70,4,6,1.3288899341197755,False,1
70,4,7,1.3272953653114556,False,1
70,4,8,1.328921895088475,False,1
70,4,9,1.327790720423385,False,1
70,4,10,1.3274978983222934,False,1
70,4,11,1.3326339798350941,False,1
70,4,12,1.328180881725787,False,1
70,4,13,1.3299012860438904,False,1
70,4,14,1.3302073776848324,False,1
70,4,15,1.3278779759841328,False,1
70,4,16,1.327658921197885,False,1
70,4,17,1.3295574397829317,False,1
70,4,18,1.326833853398222,False,1
70,4,19,1.3284276411815088,False,1
70,4,20,1.3304382684234488,False,1
70,4,21,1.3271785801211717,False,1
70,4,22,1.3286745686833836,False,1
70,4,23,1.3247212369574397,False,1
70,4,24,1.3293581683631237,False,1
70,4,25,1.3277500820861696,False,1
70,4,26,1.3246119848531361,False,1
70,4,27,1.3301990680157776,False,1
70,4,28,1.3272670124477541,False,1
70,4,29,1.3262415967762282,False,1
70,4,30,1.3278861090108367,False,1
70,4,31,1.3271959485057578,False,1
70,4,32,1.331051877947425,False,1
70,4,33,1.3328005469056843,False,1
70,4,34,1.3326713647727118,False,1
70,4,35,1.3298599341591695,False,1
